nome,dnasc,sexo,pelagem,meses informados,medidas
Andrômeda do Estrela Negra,02-03-2016,F,preta,0,92.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,1,103.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,2,107.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,3,112.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,4,116.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,5,119.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,6,122.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,7,126.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,8,126.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,9,129.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,10,129.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,11,130.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,12,132.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,13,132.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,14,133.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,15,133.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,18,137.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,21,139.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,22,139.5
Andrômeda do Estrela Negra,02-03-2016,F,preta,23,140.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,24,140.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,26,142.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,27,143.5
Andrômeda do Estrela Negra,02-03-2016,F,preta,28,145.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,29,146.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,30,146.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,33,146.5
Andrômeda do Estrela Negra,02-03-2016,F,preta,34,147.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,36,147.0
Andrômeda do Estrela Negra,02-03-2016,F,preta,48,147.0

