,nome,dnasc,sexo,pelagem,meses informados,medidas
0,Dalila Luxor,19-12-2016,F,preta,6,117.0
1,Dalila Luxor,19-12-2016,F,preta,7,120.0
2,Dalila Luxor,19-12-2016,F,preta,8,122.5
3,Dalila Luxor,19-12-2016,F,preta,9,124.0
4,Dalila Luxor,19-12-2016,F,preta,10,127.5
5,Dalila Luxor,19-12-2016,F,preta,11,129.0
6,Dalila Luxor,19-12-2016,F,preta,13,132.0
7,Dalila Luxor,19-12-2016,F,preta,14,133.0
8,Dalila Luxor,19-12-2016,F,preta,15,134.0
9,Dalila Luxor,19-12-2016,F,preta,16,135.0
10,Dalila Luxor,19-12-2016,F,preta,18,135.0
11,Dalila Luxor,19-12-2016,F,preta,19,136.0
12,Dalila Luxor,19-12-2016,F,preta,20,136.0
13,Dalila Luxor,19-12-2016,F,preta,22,139.0
14,Dalila Luxor,19-12-2016,F,preta,23,140.0
15,Dalila Luxor,19-12-2016,F,preta,24,140.0
16,Dalila Luxor,19-12-2016,F,preta,25,140.0
17,Dalila Luxor,19-12-2016,F,preta,27,140.0
18,Dalila Luxor,19-12-2016,F,preta,35,141.0
19,Dalila Luxor,19-12-2016,F,preta,36,142.0
