,nome,dnasc,sexo,pelagem,meses informados,medidas
0,Estrela Estrela Negra,30-1-2020,F,tordilho de rosilho,5,115.0
1,Estrela Estrela Negra,30-1-2020,F,tordilho de rosilho,6,117.0
2,Estrela Estrela Negra,30-1-2020,F,tordilho de rosilho,7,119.0
3,Estrela Estrela Negra,30-1-2020,F,tordilho de rosilho,8,120.0
3,Estrela Estrela Negra,30-1-2020,F,tordilho de rosilho,9,124.0
3,Estrela Estrela Negra,30-1-2020,F,tordilho de rosilho,10,126.0
3,Estrela Estrela Negra,30-1-2020,F,tordilho de rosilho,11,129.0
3,Estrela Estrela Negra,30-1-2020,F,tordilho de rosilho,12,129.0
3,Estrela Estrela Negra,30-1-2020,F,tordilho de rosilho,13,130.0
3,Estrela Estrela Negra,30-1-2020,F,tordilho de rosilho,14,131.0
3,Estrela Estrela Negra,30-1-2020,F,tordilho de rosilho,15,132.0
