nome,dnasc,sexo,pelagem,meses informados,medidas
Andrômeda,02-03-2016,F,Preta,0,92.0
Andrômeda,02-03-2016,F,Preta,1,103.0
Andrômeda,02-03-2016,F,Preta,2,105.0
Andrômeda,02-03-2016,F,Preta,3,109.0
Andrômeda,02-03-2016,F,Preta,4,110.0
Andrômeda,02-03-2016,F,Preta,5,113.0
Andrômeda,02-03-2016,F,Preta,6,115.0
Andrômeda,02-03-2016,F,Preta,7,118.0
Andrômeda,02-03-2016,F,Preta,8,119.0
Andrômeda,02-03-2016,F,Preta,9,121.0
Andrômeda,02-03-2016,F,Preta,10,123.0
Andrômeda,02-03-2016,F,Preta,11,126.0
Andrômeda,02-03-2016,F,Preta,12,130.0
